金线草	一串红
马陆	炫
灯笼草	炮仔草
酸藤木	炮子藤
三角泡	炮掌果
空心木	炮竹筒
梅花刺果	炮筒果
唢呐花	炮胀筒
唢呐花	炮胀花
衣鱼	炳鱼
大透骨消	炸山叶
破碗掌脚树	炸腰果
苘麻	点圆子草
花椒	点椒
自扣草	点草
麦饭石	炼山石
山兵豆	烂头钵
兖州卷柏	烂皮蛇
金磷石	烂石
马先蒿	烂石草
钩吻	烂肠草
手莨	烂肺草
白沙虫药	烂脚草
饿蚂蝗	烂豆树
厚朴	烈朴
烟草	烟叶
罂粟壳	烟斗斗
蛇葡萄	烟火藤
烟油	烟膏
烟草	烟酒
蘡薁	烟黑
丹参	烧酒壶根
大丁草	烧金草
狼毒	热加巴
蝉蜕	热皮
白炭	焊炭
荨麻	焊麻
竹叶青	焦尾巴
爵床	焦梅术
消石	焰消
蝎子七	然波
赖毛子	然然刺
太白参	煤参
透骨香	煤炭子
透骨香	煤炭果
萤火	照磷
白花丹	照药
牡蒿	熊掌草
越橘叶	熊果叶
黄鳝藤	熊柳根
黄鳝藤	熊柳藤
熊脂	熊油
熊脂	熊白
苦树皮	熊胆树茎皮
竹蜂	熊蜂
萝藦	熏桑
乌梅	熏梅
阿魏	熏渠
天仙子	熏牙子
灵香草	熏衣草
火腿	熏蹄
雄黄	熏黄
金狮藤	熏鼓藤
熟地黄	熟地
蜀葵花	熟季花
甜瓜	熟瓜
铁	熟铁
赤铜屑	熟铜末
磁石	熵铁石
二色补血草	燎眉蒿
马刀	燔岸
文鳐鱼	燕
山苦英	燕儿衣
文鳐鱼	燕儿鱼
龙眼肉	燕卵
燕窠土	燕子泥
石燕	燕子石
田旋花	燕子草
树扁竹	燕尾扁竹兰
佩兰	燕尾香
唢呐花	燕山红
燕窝	燕根
燕窠土	燕窝泥
燕窝	燕窝菜
燕窠土	燕窠泥
落葵	燕脂菜
落葵	燕脂豆
罗勒	燕草
燕窝	燕菜
茭白	燕蒋节
燕窝	燕蔬菜
蘡薁	燕薁
木通	燕覆
夏枯草	燕面
文鳐鱼	燕鱼
雀麦	燕麦
阿尔泰紫菀	燥原蒿
羊蹄草	爆仗草
灯笼草	爆卜草
女贞子	爆格蚤
女贞叶	爆竹叶
珍珠风	爆竹树
千金藤	爆竹消
紫花鱼灯草	爆竹花
苦（职）	爆竹草
水红花子	爆花子
假鹰爪根	爪芋根
高粱根	爪龙
海金沙草	爬古藤
菊花参	爬地参
青藤	爬地枫
地瓜藤	爬地牛奶
辫子草根	爬地香
金爪儿	爬地黄
海金沙草	爬墙蕨
铁海棠	爬壁刺
壁虎	爬壁虎
岩姜七	爬山姜
石柑子	爬山蜈蚣
岩七	爬岩夕
球兰	爬岩板
地锦	爬岩虎
薜荔	爬岩风
猪毛蕨	爬岩龙
白毛夏枯草	爬爬草
地锦	爬龙藤
凌霄花	爱华
爵床	爵卿
八角莲	爵犀
雀麦	爵麦
芙蓉花	片掌花
梅花冰片	片脑
半边莲	片花莲
脆蛇	片蛇
比目鱼	版鱼
大金刀	牌坊草
小紫含笑	牌楼笋
小紫含笑	牌骨七
半枝莲	牙刷草
鹤草芽	牙子
眼子菜	牙拾草
一年蓬	牙根消
天仙子	牙痛子
一年蓬	牙肿消
小肺筋草	牙虫草
徐长卿	牙蛀消
薅田藨	牙鹰第
小功劳	牙齿硬
倒扣草	牛七风
大蓟	牛不嗅
小青藤	牛串子
天仙果	牛乳甫
牛奶柴	牛乳茶
牛奶树	牛乳药
豨莶	牛人参
水锦树	牛伴木
杓儿菜	牛儿草
人头七	牛党参
龙船花	牛兰
酒饼婆	牛刀树
黑皮跌打	牛利藤
大蓟	牛刺第菜
无莿根	牛劝须
红背酸藤	牛卷藤
大蓟	牛口刺
大蓟	牛口舌
砂茴香	牛叫磨
苦地胆	牛吃埔
锈钉子	牛吐血
牛含水	牛哈水
大泡通	牛嗓管
大泡通叶	牛嗓管叶
牛大力	牛大力藤
酒饼婆	牛头罗
仙鹤草	牛头草
木天蓼	牛奶奶
蔓胡颓子根	牛奶子根
水稻清	牛奶泡
天仙果	牛奶浆
天仙果	牛奶珠
白附子	牛奶白附
牛奶树	牛奶稔
梅花刺果	牛奶锤
野牡丹	牛姆稔
牛蒡子	牛子
长白槐木	牛尾大活
八角枫花	牛尾巴花
青箱子	牛尾巴花子
菜豆树	牛尾木
菜豆树	牛尾树
粗叶悬钩子	牛尾泡
竹林霄	牛尾笋
羊蹄草	牛尾膝
聚藻	牛尾蕴
咸酸蔃	牛尾藤
菜豆树	牛尾豆
大昏头鸡	牛尾贯众
百舌鸟	牛屎了
百舌鸟	牛屎八
虎头兰	牛屎别草
百舌鸟	牛屎唰哥
榈木	牛屎柴
马勃	牛屎菇
马勃	牛屎菌
蜣螂	牛屎虫
粘人花	牛巴嘴
牛心朴	牛心秧
红旱莲	牛心茶
红旱莲	牛心菜
小蓟	牛戳刺
小棕包	牛挣药
宽筋藤	牛挣藤
海金沙草	牛斗茜
铁箭矮陀	牛旧藤
雀麦	牛星草
磨盘草	牛晌草
木防己	牛木香
鼠李	牛李
鼠李	牛李子
琴叶榕	牛根子
石花菜	牛毛石花
漆姑草	牛毛粘
金丝草	牛毛草
翅柄铁线蕨	牛毛针
牛含水	牛汉水
牛口涎	牛涎
杓儿菜	牛牛草
磨盘草	牛牯仔磨
夏枯草	牛牯草
无莿根	牛牵丝
华山矾	牛特木
倒扣草	牛獭鼻
云实根	牛王茨根
余甘子	牛甘子
车前草	牛甜菜
牛肚	牛百叶
鼠李	牛皂子
羊角藤	牛的藤
鸡屎藤	牛皮冻
光石韦	牛皮凤尾草
合掌消	牛皮消
烟胶	牛皮灶岸
黄明胶	牛皮胶
咸酸蔃	牛皮蕊
金边兔耳	牛眼珠草
白檀	牛筋叶
鼠李	牛筋子
山胡椒根	牛筋条根
山胡椒叶	牛筋树叶
山胡椒根	牛筋树根
脓见愁	牛筋麻
及已	牛细辛
走马风	牛耳三稔
龙利叶	牛耳叶
虎皮草	牛耳朵
车前草	牛耳朵棵
残槁蔃	牛耳枫
艾纳香	牛耳艾
黑皮跌打	牛耳风
脓见愁	牛肋筋
波罗蜜	牛肚子果
银柴胡	牛肚根
牛马藤	牛肠藤
八月瓜	牛腰子果
青藤子	牛腿虱
青藤子	牛腿风
鳞衣草	牛膝琢
牛肚	牛臘
车前草	牛舄
酸模	牛舌头棵
狗屎花	牛舌头花
铁箍散	牛舌头草
光石韦	牛舌条
羊蹄	牛舌根
牛西西	牛舌棵
野菠菜	牛舌菜
球兰	牛舌黄
虻虫	牛苍蝇
牛膝	牛茎
游草	牛草
芭茅果	牛草果
牛蒡根	牛菜
算盘子	牛萘
商陆	牛萝卜
茜草	牛蔓
百部	牛虱鬼
虻虫	牛虻
虻虫	牛蚊子
虻虫	牛蝇子
薯莨	牛血莲
海金沙草	牛西藤
黄牛角	牛角
虎刺	牛角刺
辣椒	牛角椒
牛角瓜	牛角瓜叶
牛角䚡	牛角笋
牛角䚡	牛角胎
淫羊藿	牛角花
老君须	牛角风
大蓟	牛触嘴
水毛射	牛触臭
鼠李	牛诮子
羊蹄	牛蹄
牛脾	牛连贴
车前草	牛遗
白屈菜	牛金花
牛心茄子	牛金茄
山芝麻	牛釜尾
马钱子	牛银
山海螺	牛附子
咸虾花	牛鞭子草
千斤拔	牛顿头
牛靥	牛食系
狗牙根	牛马根
雀梅藤	牛鬃刺
虻虫	牛魔蚊
野苎麻	牛鼻子树
大麦	牟麦
野绿麻根	牡丹三七
牡丹皮	牡丹根皮
女萎	牡丹蔓
草牡丹	牡丹藤
雀麦	牡姓草
肉桂	牡桂
狗鞭	牡狗阴茎
牡荆子	牡荆实
牡荆茎	牡荆条
牡荆沥	牡荆汁
牡蛎	牡蛤
薜荔	牡赞
清风藤	牢钩刺
皋芦	物罗
五叶藤	牵牛花
龙须藤	牵藤暗消
老君须	犀角细辛
牛黄	犀黄
铧头草	犁口草
铧尖草	犁咀菜
犁头尖	犁头七
扛板归	犁头刺藤
蕲蛇	犁头匠
犁头尖	犁头半夏
杠香藤	犁头枫
扛板归	犁头藤
花姬蛙	犁头蛎
花姬蛙	犁头蛙
扛板归	犁尖草
犁头草	犁铧尖
铧头草	犁铧草
野桐	犬尾招
青箱	犬尾鸡冠花
鹤草芽	犬牙
手莨	犬脚迹
梵天花	犬跤爪
狗鞭	犬阴
鲻鱼	犬鱼
夹竹桃	状元竹
独脚柑	犸驷草
马唐	犹
青蒿	犹蒿
杠香藤	狂狗藤
硒砂	狄盐
柿根	狐柿子根皮
蜻蜓	狐梨
猕猴桃	狐狸桃
蒲公英	狗乳草
白牛膝	狗京蔓
咸虾花	狗仔花
了哥王子	狗信药子
面根藤	狗儿完
面根藤	狗儿秧
地白草	狗儿草
面根藤	狗儿蔓
水蜈蚣	狗公草
婆婆纳	狗卵草
功劳叶	狗古第
东风橘	狗吉
马鞭草	狗咬草
响铃豆	狗响铃
黄独零余子	狗嗽子
狗蹄	狗四足
地骨皮	狗地芽皮
芜菁	狗头芥
海鳗	狗头鳗
醉鱼草	狗头鹰
白牛膝	狗夺子
地骨皮	狗奶子根皮
台湾榕	狗奶木
黄芦木	狗奶根
狗尾草	狗尾半支
虎尾轮	狗尾射
大狗尾草	狗尾巴
青箱子	狗尾巴子
荭草花	狗尾巴花
珍珠菜	狗尾巴草
玉柏	狗尾舒筋草
山花生	狗尾花
大尾摇	狗尾虫
清酒缸	狗局黏
鸡屎藤	狗屁藤
小果蔷薇基	狗屎刺
山芝麻	狗屎树
龙船乌泡	狗屎泡
狗屎花	狗屎罗卜
狗屎花	狗屎蓝花
圆叶锦葵根	狗干粮
瓦松	狗指甲
紫贝	狗支螺
土茯苓	狗朗头
桂木干	狗果
曼陀罗子	狗核桃
入地金牛	狗椒
华山矾	狗檬树
鬼笔	狗溺台
芋头	狗爪芋
佛甲草	狗牙半支
蜈蚣兰	狗牙半枝
火焰草	狗牙风
狗牙花	狗癫木
肾蕨	狗睾丸
鲳鱼	狗瞌睡鱼
海芋	狗神芋
百部还魂	狗笠耳
咸虾花	狗籽菜
绵草薛	狗粪棵
山马蝗	狗粪黏
狗鞭	狗精
狗宝	狗结石
土茯苓	狗老薯
苍耳	狗耳朵草
狗鞭	狗肾
娃娃拳	狗肾子
苦木	狗胆木
狗脑	狗脑髓
铁包金	狗脚刺
猫脚印	狗脚血竭
七叶莲	狗脚蹄
豨莶	狗膏
驴耳风毛菊	狗舌头
狗舌草	狗舌头草
一叶荻	狗舌条
狗屎花	狗舌花
半夏	狗芋头
竹吐椒	狗花椒
南蛇藤果	狗葛子
蝙蝠藤	狗葡萄秧
黑脂麻	狗虱
繁缕	狗蚤菜
水茄	狗辣子
农吉利	狗铃草
狗脊	狗青
构皮麻	狗额藤
麻黄	狗骨
北豆根	狗骨头
黄根	狗骨木
石筋草	狗骨节
海鳗	狗鱼
茅瓜	狗黄瓜
金铁锁	独丁子
墨七	独儿七
瓶尔小草	独叶一支箭
瓶尔小草	独叶一枝蒿
象头花	独叶半夏
独叶一枝花	独叶参
绵枣儿	独叶芹
细辛	独叶草
青天葵	独叶莲
大蒜	独头蒜
地肤子	独扫子
天麻	独摇
天麻	独摇芝
合萌	独木根
单根木	独根木
蔊菜	独根菜
黄芪	独椹
独活	独滑
芋叶	独皮叶
仙茅	独脚丝茅
独脚乌桕	独脚乌扣
百解藤	独脚乌柏
地蜂子	独脚伞
地蜂子	独脚委陵菜
金铁锁	独脚暗消
檫树	独脚樟
兰香草	独脚球
丝茅七	独脚茅草
翻白草	独脚草
铁色箭	独脚蒜头
阴地蕨	独脚蒿
独蕨萁	独脚鸡
仙茅	独脚黄茅
漏芦	独花山牛蒡
绵三七	独苗一支立
仙茅	独茅根
八角莲	独荷草
了哥王根	独薯根
独行千里	独虎龙
青木香	独行根
紫花地丁	独行虎
蜣螂	独角牛
红水芋	独角芋
雪里见	独角莲
角蒿	独角虎
横经席	独角风
仙茅	独足绿茅根
莲蓬草	独足莲
蜈蚣七	独龙抢宝
滴水珠	独龙珠
小花八角枫	狭叶八角枫
半枝莲	狭叶向天盏
水稻清	狭叶榕
半枝莲	狭叶韩信草
头顶一颗珠	狮儿七
党参	狮头参
巴掌草	狮子利
算盘子	狮子滚球
狗牙花	狮子花
无莿根	狮子藤
麒麟尾	狮尾草
马鞍藤	狮藤
蕨	狼其
狼喉靥	狼喉结
鹤草芽	狼子
狼尾草	狼尾
熏倒牛	狼尾巴蒿
狼尾巴花	狼尾花
蝎子七	狼巴子
狼尾巴花	狼巴草
半春莲	狼扇
狼杷草	狼把草
狼萁草	狼机柴
海芋	狼毒头
狼膏	狼油
鹤草芽	狼牙
鹤草芽	狼牙子
刺楸树皮	狼牙棒
鹤草芽	狼牙草根芽
海鳗	狼牙鳝
路路通	狼眼
狼杷草	狼耶草
狼膏	狼脂
狼尾草	狼茅
狼萁草	狼萁
鹤草芽	狼齿
猕猴桃	猕猴梨
四棱杆	猛一撒
巴豆	猛子仁
黄果悬钩子	猛子刺
石脑油	猛火油
白花丹	猛老虎
墨旱莲	猢孙头
地锦草	猢狲头草
骨碎补	猢狲姜
乌骨麻	猢狲接竹
山橙	猢狲果
白接骨	猢狲节根
黑老虎	猩猩南五味子
银朱	猩红
海芋	猪不拱
猪乳	猪乳汁
大茶药根	猪人参
猪笼草	猪仔笼
黑红菇	猪仔菇
糯米藤	猪仔菜
泥胡菜	猪兜菜
豨莶	猪冠麻叶
藤本夜关门	猪叶菜
猪蹄	猪四足
豚卵	猪外肾
山石榴	猪头果
牛奶树	猪奶树
大蓟	猪妈菜
大蓟	猪姆刺
野牡丹	猪姆稔
大浮萍	猪姆莲
铁丝七	猪宗七
猪脬	猪小肚
大叶千斤拔	猪尾
丝茅七	猪尾巴
猪脬	猪尿胞
索骨丹	猪屎七
黑壳楠	猪屎楠
猪苓	猪屎苓
决明子	猪屎蓝豆
土贝母	猪屎贝
猪屎豆	猪屎青
金边兔耳	猪心草
九管血	猪总管
猪蹄甲	猪悬蹄
猪蹄甲	猪悬蹄甲
金丝梅	猪拇柳
假蒟	猪拨菜
猪髻草	猪棕七
入地金牛	猪椒
猪脾	猪横利
商陆	猪母耳
牛奶树	猪母茶
野牡丹	猪母草
露兜竻蔃	猪母锯
猪髻草	猪毛漆
猪毛菜	猪毛缨
翅柄铁线蕨	猪毛草
猪靥	猪气子
木槿花	猪油花
鹿心草	猪油药
瓜子藤	猪油藤
盘龙参	猪潦子
猪蹄甲	猪爪甲
猪齿	猪牙
盘龙参	猪牙参
墨旱莲	猪牙草
角蒿	猪牙菜
佛甲草	猪牙齿
貒膏	猪獾油
猪肤	猪皮
豚卵	猪睾丸
豚卵	猪石子
海芋	猪管豆
百眼藤	猪糠藤
猪髻草	猪综草
苍耳	猪耳
虎皮草	猪耳朵
车前子	猪耳朵穗子
酸模	猪耳根棵
鸭舌草	猪耳菜
白牛胆	猪耳风
牛耳枫子	猪肚
山石榴	猪肚勒
车前草	猪肚子
赤小豆	猪肝赤
猪脂膏	猪肪膏
猪脬	猪胞
猪脂膏	猪脂
猪脂膏	猪脂肪
猪肠	猪脏
鸡骨草	猪腰草
猪脂膏	猪膏
豨莶	猪膏草
豨莶	猪膏莓
白苋	猪苋
猪苓	猪茯苓
石龙子	猪蛇婆
水锦树	猪血木
厚皮香	猪血柴
鸡血藤	猪血藤
猪蹄甲	猪蹄合子
盘龙参	猪辽参
猪蹄甲	猪退
自消容	猪铃豆
豚卵	猪隐睾
盘龙参	猪鞭草
决明子	猪骨明
望江南	猪骨棉
松叶	猪鬃松叶
猪髻草	猪鬃漆
益母草	猪麻
亮叶冬青	猪黑樵
竹叶子	猪鼻孔
大飞扬草	猫仔癀
金丝草	猫仔草
白鼓	猫儿卵
苦石莲	猫儿核
泽漆	猫儿眼睛草
绿兰花	猫儿草
薄荷	猫儿薄苛
瓦松	猫头草
鸱鹤	猫头鹰
藿香	猫尾巴香
猫儿屎	猫屎枫
猫儿屎	猫屎瓜
藿香	猫巴虎
藿香	猫把
盾果草	猫条干
金丝草	猫毛草
猫人参	猫气藤
牛耳草	猫爪七
猫爪草	猫爪儿草
扛板归	猫爪刺
猫儿屎	猫瓜
小草乌	猫眼花
铁苋	猫眼菜
落霜红	猫秋子草
羊角藤	猫红藤
寒莓	猫耳扭
旋覆花	猫耳朵花
牛耳草	猫耳草
蘡薁藤	猫耳藤
巴戟天	猫肠筋
猫胞衣	猫胞
绿兰花	猫脚迹
蜜桶花	猫花
小蓟	猫蓟
肾蕨	猫蛋果
猫须草	猫须公
缬草	猫食菜
刺猬皮	猬皮
猴头菌	猬菌
圆叶锦葵根	献干粮
猴枣	猴丹
猕猴桃	猴仔梨
吊岩风	猴仙丹
铁破锣	猴儿七
桑螵蛸	猴儿包
鹤顶兰	猴兰
紫薇花	猴刺脱
猴头菌	猴头菇
骨碎补	猴姜
蝎子七	猴娃子
蝎子七	猴子七
大地棕根	猴子包头
猪笼草	猴子埕
山橙	猴子果
猴枣	猴子枣
狼毒	猴子根
猪笼草	猴子笼
大地棕根	猴子背巾
土碎补	猴子蕨
苞蔷薇根	猴局根
兔打伞	猴巴掌
老鸦柿	猴总子
骨碎补	猴掌姜
牡蒿	猴掌草
钩栗	猴板栗
苞蔷薇果	猴柿刺
钩栗	猴栗
空心木	猴桔子
山楂	猴檀
牛心茄子	猴欢喜
金丝草	猴毛草
虎杖	猴竹根
猴头菌	猴菇
海萝	猴葵
手莨	猴蒜
红药子	猴血七
猕猴骨	猴骨
绒毛桢楠	猴高铁
软枣子	猿枣
褐盖肉齿菌	獐头
褐盖肉齿菌	獐头菌
獭四足	獭爪
獾油	獾子油
五味子	玄及
玄参	玄台
磁石	玄武石
铅霜	玄白
玉	玄真
磁石	玄石
延胡索	玄胡索
玄精石	玄英石
蛤仔	玄蛤
蝌蚪	玄针
铅霜	玄霜
墨	玄香
蝌蚪	玄鱼
鳢鱼	玄鳢
大粘药	玄麻
糯米藤	玄麻根
梨	玉乳
头顶一颗珠	玉儿七
双肾子	玉凤花根
球兰	玉叠梅
榧子	玉山果
肾经草	玉峰花
肝风草	玉帘
扭曲草	玉带根
吉祥草	玉带草
罗裙带	玉带风
山药	玉延
白接骨	玉接骨
鸡屎藤	玉明砂
望江青	玉星草
番薯	玉枕薯
肉豆蔻	玉果
肉豆蔻衣	玉果花
闹羊花	玉枝
肉桂	玉桂
艳山姜	玉桃
白接骨	玉梗半枝莲
胡椒	玉椒
榧子	玉榧
绿笋片	玉版笋
鱣鱼	玉版鱼
野海椒	玉珊瑚
肺形草	玉瑚蝶
栀子花	玉瓯花
铁苋	玉碗捧真珠
薏苡仁	玉秣
白苏子	玉竹子
黄精	玉竹黄精
百部	玉箫
玉簪根	玉簪花根
玉蜀黍	玉米
玉蜀黍根	玉米根
玉米轴	玉米芯
人参	玉精
五叶薯	玉苁蓉
栀子花	玉荷花
金刚散	玉葡萄根
洋葱	玉葱
錾菜	玉蓉草
擘蓝	玉蔓青
玉蜀黍	玉蜀秫
玉米花	玉蜀黍花
玉米须	玉蜀黍蕊
木蝴蝶	玉蝴蝶
球兰	玉蝶梅
白接骨	玉连环
玉柏	玉遂
玉龙鞭	玉郎鞭
过塘蛇	玉钗草
马㼎儿	玉钮子
白接骨	玉钱草
天名精	玉门精
玉蜀黍	玉露秫秫
细辛	玉香丝
玉蜀黍	玉高粱
铁海棠	玉麒麟
玉蜀黍	玉麦
玉米须	玉麦须
藤黄	玉黄
玉蜀黍	玉黍
白接骨	玉龙盘
蜂乳	王乳
银鱼	王余
荩草	王刍
三十六荡	王劳伤
菟丝	王女
胡颓子	王婆奶
蜂乳	王浆
九头狮子草	王灵仁
菝葜	王瓜草
地白草	王瓜香
栝楼	王白
木通	王翁
山药	王茅
栝楼	王菩
西番莲	王蕊花
黄连	王连
玉竹	王马
望月砂	玩月砂
地胆	玩青
野海椒	珊瑚子
扭曲草	珊瑚枝
酸浆	珊瑚架
五色梅	珊瑚球
石防风	珊瑚菜
羊耳蒜	珍珠七
朱砂根	珍珠凉伞
青天葵	珍珠叶
珍珠梅	珍珠杆
珍珠风	珍珠柳
荷苞花	珍珠梧桐
血党	珍珠盖伞
玉蜀黍	珍珠米
玉蜀黍	珍珠芦粟
红水芋	珍珠莫玉散
宝盖草	珍珠莲
鸭脚艾	珍珠菊
陆英	珍珠连
透骨草	珍珠透骨草
血满草	珍珠麻
九子连环草	珠串珠
珠儿参	珠参
珍珠	珠子
珍珠风	珠子树
三点金草	珠子草
龙船花	珠桐
珍珠母	珠母
珍珠母	珠牡
薏苡仁	珠珠米
牛耳枫子	珠碌子
珠芽半支	珠芽石板菜
淡菜	珠菜
草独活	珠钱草
珂	球
水蜈蚣	球头草
南赤匏	球子莲
千日红	球形鸡冠花
垂丝卫矛	球果卫矛
细芦子藤	球穗胡椒
葛蕈	球穗蛇孤
水团花	球花水杨梅
橙皮	理皮
橙皮	理陈皮
黎辣根	琉璃根
硬枝黑琐梅	琐梅
葡萄	琐琐葡萄
锁阳	琐阳
琥珀	琥魄
沉香	琪
眼镜蛇	琵琶蛇
乌桕子	琼仔
八角莲	琼田草
昙花	琼花
睡莲	瑞莲
柑	瑞金奴
天花粉	瑞雪
小连翘	瑞香草
莼	瑰莼
徐长卿	瑶山竹
琼枝	璃枝
甜瓜蒂	瓜丁
半边莲	瓜仁草
栝楼皮	瓜壳
冬瓜子	瓜子
上树鳖	瓜子核
豆瓣绿	瓜子细辛
瓜子藤	瓜子英
掐不齐	瓜子鸟梢
豆瓣绿	瓜子鹿衔
黄杨木	瓜子黄杨
破布叶	瓜布木叶
漆姑草	瓜槌草
蜗牛	瓜牛
冬瓜子	瓜犀
冬瓜子	瓜瓣
栝楼子	瓜米
鱼鳖金星	瓜米石豇豆
黑点草	瓜米菜
丝瓜络	瓜络
皋芦	瓜芦
栝楼子	瓜萎仁
甜瓜蒂	瓜蒂
栝楼	瓜蒌
防己	瓜防己
仙鹤草	瓜香草
九香虫	瓜黑蝽
壶卢	瓠
壶卢	瓠匏
梧桐子	瓢儿果
蹋菜	瓢儿菜
麦瓶草	瓢咀
漂摇豆	瓢摇豆
牛心朴	瓢柴
龙舌草	瓢羹菜
秦艽	瓣子艽
大肺筋草	瓣练
土人参	瓦参
土人参	瓦坑头
瓦楞子	瓦垄子
瓦楞子	瓦垄蛤皮
瓦松	瓦塔
爵床	瓦子草
瓦松	瓦宝塔
瓦楞子	瓦屋子
铅粉	瓦粉
瓦松	瓦莲
瓦松	瓦莲花
云芝	瓦菌
瓦松	瓦葱
雀	瓦雀
瓦松	瓦霜
铁筷子	瓦鸟柴
蕹菜	瓮菜
蕹菜根	瓮菜根
鹿茸草	瓶儿蜈蚣草
磁石	瓷石
海螺	瓷螺
人中黄	甘中黄
甘薯	甘储
蘡薁藤	甘古藤
蜘蛛抱蛋	甘心蜈蚣
李根皮	甘李根白皮
缬草	甘松
白及	甘根
棠梨	甘棠
橄榄	甘榄
萝芙木	甘榕木
甘遂	甘泽
甜瓜	甘瓜
甜瓜子	甘瓜子
瓠子	甘瓠
炉甘石	甘石
甜石榴	甘石榴
人中黄	甘草黄
菊花	甘菊
葛根	甘葛
香蒲	甘蒲
大蕉皮	甘蕉果皮
香蕉根	甘蕉根
甘遂	甘藁
饭豆	甘豆
草石蚕	甘露儿
草石蚕	甘露子
泽兰	甘露秧
八宝茶	甘青卫矛
丝瓜蒂	甜丝瓜蒂
川牛膝	甜川牛膝
胡颓子	甜果儿
牛奶子	甜枣
甘草	甜根子
荠苨	甜桔梗
芦根	甜梗子
猕猴桃	甜梨
胡颓子	甜棒捶
蔓胡颓子	甜棒锤
钩栗	甜楮子
川牛膝	甜牛膝
甜瓜子	甜瓜仁
甜瓜蒂	甜瓜把
甜瓜子	甜瓜瓣
甜瓜茎	甜瓜蔓
麦瓶草	甜甜菜
肺形草	甜痧药
石莲子	甜石莲
酒糟	甜糟
剪红纱花	甜胆草
鸭脚艾	甜艾
多穗石柯叶	甜茶叶
多穗石柯果	甜茶果
多穗石柯根	甜茶根
白茅根	甜草根
荞麦	甜荞
菊花	甜菊花
莙荙菜	甜菜
蕨	甜蕨
甘薯	甜薯
忍冬藤	甜藤
沙糖木	甜饼木
地骨皮	甜齿牙根
剪红纱花	甜龙胆
大黄	生军
黄精	生姜
生姜皮	生姜衣
青梅	生梅子
漆大姑	生毛七
麻油	生油
消石	生消
越瓜	生瓜
白矾	生矾
徐长卿	生竹
升登	生等
铜绿	生绿
山甘草	生肌藤
莴苣	生菜
莴苣子	生菜子
伊贝母	生贝
铁	生铁
铁落	生铁落
麝香	生香
三七花	田七花
三七	田三七
三白草	田三白
游草	田中游草
田螺	田中螺
黑面叶	田中逵
葫芦茶	田刀柄
甜茶藤	田婆茶
蘋	田子草
大田基黄	田岸柴
水茴香	田根草
山芝麻	田油麻
牙疳药	田波浪
蘋	田浆味酸酸
草龙	田浮草
三七	田漆
何首乌	田猪头
假酸浆	田珠
丁香蓼	田痞草
草龙	田石梅
田旋花	田福花
鼠曲草	田艾
益母草	田芝麻棵
自扣草	田芹菜
马兰	田茶菊
蘋	田荠
马兰	田菊
铁箭矮陀	田萌葛
浮萍	田萍
蔊菜	田葛菜
马兰	田蒿子
丁香蓼	田蓼草
铁箭矮陀	田蜢葛
水田七	田螺七
消毒药	田螺师
薜荔	田螺掩
铁苋	田螺草
断血流	田螺菜
鸭嘴癀	田边草
深山黄堇	田饭酸
羊角草	田香蕉
水豆瓣	田马齿苋
哈士蟆油	田鸡油
兖州卷柏	田鸡爪
酸模	田鸡脚
粪箕笃	田鸡草
鼹鼠	田鼠
孩儿草	由甲草
白蒿	由胡
穿山甲	甲片
白花蛇舌草	甲猛草
鳖甲	甲鱼壳
土人参	申时花
猴枣	申枣
猕猴骨	申骨
花葱	电灯花
紫青藤	画眉跳杠
滑石	画石
白垩	画粉
清酒缸	畏草
钟乳石	留公乳
竹蜂	留师
使君子	留求子
滑石	留石
豌豆	留豆
绵草薛	畚箕斗
八月札	畜當子
鲟鱼	略
黄花夹竹桃	番仔桃
南瓜	番南瓜
半枫荷根	番张麻
番茄	番李子
无漏子	番枣
番茄	番柿
番红花	番栀子蕊
番石榴干	番桃
番石榴叶	番桃叶
蓬莱草	番梨仔草
辣椒	番椒
龙船花	番海棠
管仲	番白叶
滑石	番石
番石榴叶	番石榴心
粪箕笃	番箕草
鸡蛋花	番缅花
菊芋	番羌
番薯藤	番苕藤
番薯	番茹
大浮萍	番萍
番薯	番落
南瓜	番蒲
苏铁叶	番蕉叶
野芫荽	番香茜
铁海棠	番鬼刺
仙人球	番鬼杨桃
野芫荽	番鬼芫茜
洋鸭	番鸭
玉蜀黍	番麦
全蝎	畫
面根藤	當子根
木通	當藤
姜石	疆砾
穿鱼藤	疏脉山茱萸
山杜仲	疏花卫矛
雉	疏趾
硬枝黑琐梅	疏风草
大叶骨牌草	疏鳞星蕨
蔓胡颓子	疑吴
白背三七	疗拔
蓬子菜	疗毒蒿
蛇莓	疗疮药
珠儿参	疙瘩七
密蒙花	疙瘩皮树花
东风菜	疙瘩药
木槿花	疟子花
何首乌	疮帚
落霜红	疮草
豆豉草	疳积药
海鳗	病狗鱼
仙桃草	病疳草
大叶白纸扇	病花
毛冬青	痈树
猫人参	痈草
漆大姑	痒树棵
紫薇花	痒痒花
黄芫花	痒眼花
醉鱼草	痒见消
鸡冠草	痔疮草
海芋	痕芋头
野芋实	痕芋头花仁
藤檀	痛必灵
螺靥草	痞子药
小飞羊草	痢子草
蓬莱草	痢症草
白沙虫药	痢药
蔓胡颓子	痧银藤
白冷草	痨伤药
走游草	痰五加
野杜仲	痰药
乌骨麻	痱痒草
苍耳	痴头婆
鹅脚板	瘙疡股
鲥鱼	瘟鱼
雀梅藤	瘤毒藤
